species,enrichment_fdr,n_genes,pathway_genes,fold_enrichment,pathway,url,genes,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,ensembl_id
Aedes aegypti,0.00611461,8,39,4.99020979,GO:0015698 inorganic anion transport,http://amigo.geneontology.org/amigo/term/GO:0015698,Q17AX2 Q173U8 A0A1S4FJ60 Q16RK1 Q16P14 Q1HR57,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00056309,44,510,2.09882353,GO:0009889 reg. of biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0009889,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 A0A0P6IUG2 Q174A4 A0A1S4FGC2 Q172C8 A0A1S4FH95 A0A1S4FJ71 Q16XJ6 Q16WN0 A0A1S4FM75 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G0T1 A0A1S4G1X1 Q16G14 Q17EH0 A0A1S4FAT3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00213684,38,461,2.00528495,GO:1903506 reg. of nucleic acid-templated transcription,http://amigo.geneontology.org/amigo/term/GO:1903506,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FGC2 A0A1S4FH95 Q16XJ6 Q16WN0 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 Q17EH0 A0A1S4FAT3 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00213684,38,461,2.00528495,GO:0006355 reg. of transcription DNA-templated,http://amigo.geneontology.org/amigo/term/GO:0006355,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FGC2 A0A1S4FH95 Q16XJ6 Q16WN0 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 Q17EH0 A0A1S4FAT3 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00213684,38,461,2.00528495,GO:2001141 reg. of RNA biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:2001141,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FGC2 A0A1S4FH95 Q16XJ6 Q16WN0 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 Q17EH0 A0A1S4FAT3 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00084488,47,584,1.95784558,GO:0010468 reg. of gene expression,http://amigo.geneontology.org/amigo/term/GO:0010468,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD07 Q176B9 A0A0P6IUG2 Q174A4 A0A1S4FGC2 Q172C8 A0A1S4FH95 Q170R5 A0A1S4FJ71 Q16XJ6 Q16WN0 A0A1S4FM75 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A1S4G6Y0 Q17EH0 A0A1S4FAT3 A0A0P6K0X9 Q16N83 Q172A2 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00510119,38,486,1.90213244,GO:0051252 reg. of RNA metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0051252,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FGC2 A0A1S4FH95 Q16XJ6 Q16WN0 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 Q17EH0 A0A1S4FAT3 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00122551,50,652,1.8655884,GO:0051171 reg. of nitrogen compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0051171,Q17MR3 A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 Q16I15 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 A0A0P6IUG2 A0A0P6IX28 Q174A4 A0A1S4FGC2 A0A1S4FGH1 Q172C8 A0A1S4FH95 A0A1S4FJ71 Q16XJ6 Q16WN0 Q16WI3 A0A1S4FM75 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 Q17EH0 A0A1S4FAT3 A0A0P6IVL3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00067944,56,731,1.8636488,GO:0019222 reg. of metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0019222,Q17MR3 A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 Q16I15 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD07 Q176B9 A0A0P6IUG2 Q175K5 A0A0P6IX28 Q174A4 A0A1S4FGC2 A0A1S4FGH1 Q172C8 A0A1S4FH95 Q170R5 A0A1S4FJ71 Q16XJ6 Q16WN0 Q16WI3 A0A1S4FM75 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G0T1 A0A1S4G1X1 Q16G14 A0A1S4G6Y0 Q17EH0 A0A1S4FAT3 A0A0P6IVL3 A0A0P6K0X9 Q16N83 Q172A2 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00122551,50,653,1.86273145,GO:0080090 reg. of primary metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0080090,Q17MR3 A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 Q16I15 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 A0A0P6IUG2 A0A0P6IX28 Q174A4 A0A1S4FGC2 A0A1S4FGH1 Q172C8 A0A1S4FH95 A0A1S4FJ71 Q16XJ6 Q16WN0 Q16WI3 A0A1S4FM75 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 Q17EH0 A0A1S4FAT3 A0A0P6IVL3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
